"","unique_row","study_ID","long_cite","short_cite","INCLUDE.","CogsProc","peer_reviewed","coder","replication","DirectRep_ReasonNo_long","Rep_reason_short","expt_num","same_infant","expt_condition","native_lang","stimuli_type","test_lang_type","test_lang_fam","test_lang","test_lang_program","fam_lang_coarticulation","uniformity","additional_cue","additional_cue_type","cue_conflict_TP","TPvsCue","test_same_familiarization","test_voice","infant_type","multiple_age_groups","mean_age_months","mean_age_1","mean_age_2","age_range_1","gender_1","n_1","n_2","group_name_1","group_name_2","n_excluded_1","fussers_1","exclusionCriteria","words","test_words","number_syllables","duration_syllables","X.Words","X.WordRepetitions","ForwardTP_target","ForwardTP_nonword","BackwardTP_Target","BackwardTP_nonword","frequency_balanced","familiarization_time","num_test_trials","duration_test_trial","method","exposure_phase","response_mode","dependent_measure","participant_design","Block","HTP_x_1","SD_1","LTP_x_2","SD_2","corr","t","F","d","d_var","p_val_reported","reported_sig","cor_derived","r","familiarity","Predicted","proportion_preference","prop_direction","Proportion_test","Prop_p_value","Test_Standard","MissedByOurCoding.","Notes.","ResultValues_Checked.","Source","Lab","x_1","x_2","corr_imputed","d_calc","d_var_calc","es_method","g_calc","g_var_calc","weights_g","weights_d","nooutlier","StimuliType","age.C","FoilType","mean_age","n","same_infant_calc","se","lowerci","upperci","UniqueStudy"
"1","76","FrenchAddymanMareschal2011","French, R. M., Addyman, C., & Mareschal, D. (2011). TRACX: a recognition-based connectionist framework for sequence segmentation and chunk extraction. Psychological review, 118(4), 614.","French, Addyman, & Mareschal (2011)","yes",FALSE,"yes","AKB",TRUE,NA,NA,2,2,"BW_TP","British English","artificial","native","fam","native","MBROLA","yes","yes","none","none","no","no","","SAME","typical",0,8.245729304,251,NA,53,0.6,20,NA,"","",11,9,"fussiness(9); equipment failure(1), parental interference (1)","Language A: feego; feerou; neipau; neikoi; duhlu; duhtai; Language B: tailu, taiduh, koipau, koinei, rougo, roufee","all",2,222.22,6,41,0.5,0.5,NA,NA,"no",180,12,"15","HPP","familiarization","behavior","looking_time","within_two","",9.4,2.89,12.2,2.92,0.548774137332536,4.62,NA,NA,NA,0,"yes",0.5647906596,NA,"novelty","",NA,"","",NA,"","","experiment section 9","","authors_files","Mareschal",12.2,9.4,0.548774137332536,0.963842572860407,0.0660818584965826,"group_means_two",0.92368246565789,0.0606897624039795,271.499557111765,229.000010735295,TRUE,"0",-0.366183454145233,"partword",251,20,"FrenchAddymanMareschal2011 2",0.246352922458776,0.440830737638689,1.40653419367709,"FALSE"
"2","39","MersadNazzi2012","Mersad, K., & Nazzi, T. (2012). When Mommy comes to the rescue of statistics: Infants combine top-down and bottom-up cues to segment speech. Language Learning and Development, 8(3), 303-315.","Mersad & Nazzi (2012)","yes",TRUE,"yes","AKB",TRUE,NA,NA,1,1,"Uniform WL","French","artificial","native","fam","native","MBROLA","yes","yes","none","none","no","no","yes","SAME","typical",0,8.624178712,262.52,NA,33.68,0.4,20,NA,"","",3,3,"","Lang A: pabiku, tibudo, golatu, daropi; Lang B: tudaro, pigola, budopa, bikuti","tudaro, pigola, pabiku, tibudo",3,222,4,45,1,0.5,NA,NA,"yes",181.8,NA,"13.65","HPP","familiarization","behavior","looking_time","within_two","",6.68,2.34,8.48,2.65,0.575756893437238,3.25,NA,NA,NA,0,"yes",0.5130776292,NA,"novelty","none",0.7,"novelty","",NA,"y","n","","yes","authors_files","Nazzi",8.48,6.68,0.575756893437238,0.720054726238871,0.0534223636824429,"group_means_two",0.690052445978918,0.0490632472014103,415.420021309894,350.391692537682,TRUE,"0",-0.188963602459202,"partword",262.52,20,"MersadNazzi2012 1",0.221502251007547,0.255908034004126,1.12419685795371,"FALSE"
"3","19","JohnsonJusczyk2001","Johnson, E. K. & Jusczyk, P. W. (2001). Word segmentation by 8-month-olds: when speech cues count more than statistics. Journal of Memory and Language, 44(4): 548-567.","Johnson & Jusczyk (2001)","yes",TRUE,"yes","AKB",TRUE,NA,NA,1,1,"TP","American English","artificial","native","fam","native","natural","no","yes","none","none","no","no","yes","SAME","typical",0,8.015768725,244,NA,35,0.4375,16,NA,"","",4,4,"crying","Lang A: pabiku, tibudo, golatu, daropi; :ang B: tudaro, pigola, bikuti, budopa","pabiku, tibudo, tudaro, pigola",3,273,4,45,1,0.33,NA,NA,"no",147,12,"19.785","HPP","familiarization","behavior","looking_time","within_two","",6.49,2.5,8.25,3.1,0.869392874022713,NA,8.47,NA,NA,0.01,"yes",NA,NA,"novelty","novelty",0.8125,"novelty","",NA,"y","n","273 for duration of syllables (highlighted in pink)","yes","authors_files","Johnson",8.25,6.49,0.869392874022713,0.624994325321023,0.0195144833813604,"group_means_two",0.591512486464539,0.0174796504522453,3272.91338915592,2625.94655707627,TRUE,"1",-0.473869127912787,"partword",244,16,"JohnsonJusczyk2001 1",0.13221062911977,0.33237965338979,0.850645319539288,"FALSE"
"4","59","ThiessenSaffran2003","Thiessen, E. D., & Saffran, J. R. (2003). When cues collide: Use of stress and statistical cues to word boundaries by 7- to 9-month-old infants. Developmental Psychology, 39(4), 706-716. http://dx.doi.org/10.1037/0012-1649.39.4.706","Thiessen & Saffran (2003)","yes",TRUE,"yes","AKB",TRUE,NA,NA,3,5,"monotone","American English","artificial","native","fam","native","MacInTalk","yes","yes","none","none","no","no","yes","SAME","typical",1,8.83,268.7852,NA,15.22,NA,13,NA,"","",13,5,"looking times of less than 3 sec to one side, failing to complete at least two trials of all four test items","dapu, dobi, bugo, diti","dapu, dobi, pudo, bida",2,223.8,4,45,1,0.3,NA,NA,"yes",120,12,"unlimited","HPP","familiarization","behavior","looking_time","within_two","",5.45,1.586442561,6.35,1.297998459,0.89,3.37,NA,NA,NA,NA,"yes",0.7950685611,NA,"novelty","",0.8461538462,"novelty","",NA,"","","no stress; Forward TP non-words between .2-.4","yes","authors_files","Saffran",6.35,5.45,1.08929563347005,0.620940740323399,0.0201855703330208,"group_means_two",0.578603871664985,0.0175268304389504,3255.31657646969,2454.24520194829,TRUE,"0",-0.0925818477037052,"partword",268.7852,13,"ThiessenSaffran2003 5",0.132388936240724,0.319121556633167,0.838086186696804,"FALSE"
"5","33","JohnsonTyler2010","Johnson, E. K., & Tyler, M. D. (2010). Testing the limits of statistical learning for word segmentation. Developmental science, 13(2), 339-345.","Johnson & Tyler (2010)","yes",TRUE,"yes","AKB",TRUE,NA,NA,1,3,"uniform 8 mo","Dutch","artificial","native","fam","native","MBROLA","yes","yes","none","none","no","no","yes","SAME","typical",1,8.70565046,265,NA,17,0.375,24,NA,"","",7,3.5,"fussiness, falling asleep, computer error, parental/sibling interference, looking times greater than 3SD from the mean (1)","each infant heard own language","disyllabic",2,273,4,45,1,0.33,NA,NA,"yes",197,12,"20.01","HPP","familiarization","behavior","looking_time","within_two","",6.56,1.81262241,7.64,2.008581589,0.89,NA,NA,NA,NA,NA,"",NA,NA,"novelty","novelty",0.6666666667,"novelty","n",NA,"y","n","","yes","authors_files","Johnson",7.64,6.56,1.03259871783613,0.564525043333604,0.0106273224041912,"group_means_two",0.545279871401777,0.00991508320897229,10172.0215960617,8854.26035025381,TRUE,"0",-0.150812106610126,"partword",265,24,"JohnsonTyler2010 3",0.0995745108397339,0.350113830155898,0.740445912647656,"FALSE"
"6","75","FrenchAddymanMareschal2011","French, R. M., Addyman, C., & Mareschal, D. (2011). TRACX: a recognition-based connectionist framework for sequence segmentation and chunk extraction. Psychological review, 118(4), 614.","French, Addyman, & Mareschal (2011)","yes",FALSE,"yes","AKB",TRUE,NA,NA,1,1,"rep","British English","artificial","native","fam","native","MBROLA","yes","yes","none","none","no","no","","SAME","typical",0,8.180026281,249,NA,45,0.4615384615,13,NA,"","",NA,NA,"","tupiro, golabu, bidaku, padoti or dapiku, tilado, burobi, pagotu","tupiro, golabu, dapiku, tilado",3,222.2222222,4,45,1,0.33,NA,NA,"no",120,12,"15","HPP","familiarization","behavior","looking_time","within_two","",10.7,3.72,12.6,3.67,0.877561685891581,2.57,NA,NA,NA,0.03,"yes",0.7398687817,NA,"novelty","",NA,"","",NA,"","","see footnote 9 for this data","","authors_files","Mareschal",12.6,10.7,0.877561685891581,0.51419662055808,0.0213268533648468,"group_means_two",0.479137760065484,0.0185177895177208,2916.22959632059,2198.60106580207,TRUE,"0",-0.396950789507391,"partword",249,13,"FrenchAddymanMareschal2011 1",0.136080084941628,0.212420793579893,0.745854726551076,"FALSE"
"7","31","JohnsonTyler2010","Johnson, E. K., & Tyler, M. D. (2010). Testing the limits of statistical learning for word segmentation. Developmental science, 13(2), 339-345.","Johnson & Tyler (2010)","yes",TRUE,"yes","AKB",TRUE,NA,NA,1,1,"uniform 5 mo","Dutch","artificial","native","fam","native","MBROLA","yes","yes","none","none","no","no","yes","SAME","typical",1,5.880420499,179,NA,34,0.4791666667,24,NA,"","",4.5,2,"fussiness, refusal to look, parental/sibling interference","each infant heard own language","disyllabic",2,273,4,45,1,0.33,NA,NA,"yes",147,12,"20.01","HPP","familiarization","behavior","looking_time","within_two","",7.44,2.057571384,8.38,2.400499948,0.475905994330184,NA,NA,NA,NA,NA,"",NA,NA,"novelty","novelty",0.6666666667,"novelty","n",NA,"y","n","There was no main effect of age, F(1,92) = 0.14, or language type, F(1, 92) = 0.12, but there was a significant main effect of test item type, F(1,92) = 4.93, ηp 2 = .05, such that orientation times were longer overall for partwords than words. Importantly, there was a significant two-way interaction between language type and test item, F(1,92) = 8.62, ηp 2 = .09, but no three-way interaction between those two factors and age, F(1,92) = 0.07. A simple effects test (Winer, Brown, & Michels, 1991) showed infants, collapsed across age, oriented longer to partwords than words in the UWL condition (F(1,92) = 13.30, ηp 2 = .13), but not in the MWL condition (F(1,92) = 0.26).","yes","authors_files","Johnson",8.38,7.44,0.475905994330184,0.420464881144476,0.0475351235832447,"group_means_two",0.406130851105459,0.0443493372790474,508.423634698573,442.558560000151,TRUE,"0",-1.47380752718293,"partword",179,24,"JohnsonTyler2010 1",0.210592823427218,-0.00663108281188757,0.818892785022806,"FALSE"
"8","46","SaffranAslinNewport1996","Saffran, J. R., Aslin, R. N., & Newport, E. L. (1996). Statistical learning by 8-month-old infants. Science, 274, 5294.","Saffran, Aslin, & Newport (1996)","yes",TRUE,"yes","CB",TRUE,NA,NA,1,1,"","American English","artificial","native","fam","native","MacInTalk","yes","yes","none","none","no","no","yes","SAME","typical",0,8,243.52,NA,NA,NA,24,NA,"","",NA,NA,"","tupiro, golabu, bidaku, padoti or dapiku, tilado, burobi, pagotu","tupiro, golabu, dapiku, tilado",3,222.2222222,4,45,1,0,NA,NA,"no",120,12,"15","HPP","familiarization","behavior","looking_time","within_two","",7.97,2.008581589,8.85,2.204540769,0.89,2.3,NA,NA,NA,0.04,"yes",0.6076167643,NA,"novelty","",NA,"","",NA,"y","n","","yes","authors_files","Saffran",8.85,7.97,1.29713231228759,0.417291310837022,0.00996477184129203,"group_means_two",0.403065470694851,0.00929693653839552,11569.6512268719,10070.8303808575,TRUE,"0",-0.481253288399705,"nonword",243.52,24,"SaffranAslinNewport1996 1",0.0964206229931933,0.214081049628192,0.59204989176151,"FALSE"
"9","47","SaffranAslinNewport1996","Saffran, J. R., Aslin, R. N., & Newport, E. L. (1996). Statistical learning by 8-month-old infants. Science, 274, 5294.","Saffran, Aslin, & Newport (1996)","yes",TRUE,"yes","CB",TRUE,NA,NA,2,2,"","American English","artificial","native","fam","native","MacInTalk","yes","yes","none","none","no","no","yes","SAME","typical",0,8,243.52,NA,NA,NA,24,NA,"","",NA,NA,"","pabiku, tibudo, golatu, daropi or tudaro, pigola, bikuti, budopa","pabiku, tibudo, tudaro, pigola",3,222.2222222,4,45,1,0.33,NA,NA,"no",120,12,"15","HPP","familiarization","behavior","looking_time","within_two","",6.77,2.155550974,7.6,2.057571384,0.89,2.4,NA,NA,NA,0.03,"yes",0.6774872986,NA,"novelty","",NA,"","",NA,"y","n","","yes","authors_files","Saffran",7.6,6.77,1.19199634153925,0.393900568198074,0.00987780593078934,"group_means_two",0.380472139736776,0.00921579905087203,11774.2704483087,10248.9416679953,TRUE,"0",-0.481253288399705,"partword",243.52,24,"SaffranAslinNewport1996 2",0.0959989533842533,0.19231419110364,0.568630088369912,"FALSE"
"10","92","BulgarelliBenitezSaffranByers-HeinleinWeiss2017","Bulgarelli, F., Benitez, V., Saffran, J., Byers-Heinlein, K., & Weiss, D. J. (2017, May). Statistical Learning of Multiple Structures by 8-Month-Old Infants. In Proceedings of the... Annual Boston University Conference on Language Development. Boston University Conference on Language Development (Vol. 41, p. 128). NIH Public Access.","Bugarelli, Benitez, Saffran, Byers-Heinlein, & Weiss (2017)","yes",FALSE,"no","AKB",TRUE,NA,NA,1,1,"control","American English","artificial","native","fam","native","natural","yes","yes","none","none","no","no","no","SAME","typical",0,8.1,246.564,NA,38.6588,0.4583333333,24,NA,"","",10,6,"4 experimenter error","Lang A: pabiku, tibudo, golatu; Lang B: bugofay, tifaso, mupadi","Lang A: pabiku, tibudo, golatu & pabutu, tilaku, gobido; Lang B: bugofay, tifaso, mupadi, & bupaso, tigodi, mufafay",3,333.3333333,3,30,1,0,NA,NA,"no",90,12,"","HPP","familiarization","behavior","looking_time","within_two","",6.85,2.03,7.91,3.32,0.89,2.47,NA,NA,NA,0.02,"yes",0.7955391143,NA,"novelty","",NA,"","",NA,"","","there are 3 follow-up experiments testing ability to parse both languages; this would be complicated to tease apart in the meta-analysis so I'm not including those.","","allintitle: infant OR month -visual SINCE 2015. Search performed on May 18, 2018","Saffran",7.91,6.85,1.05182473308833,0.385221572769388,0.00984681344224839,"group_means_two",0.37208901915225,0.00918688366738696,11848.5052697149,10313.5595445479,TRUE,"1",-0.4344254039785,"nonword",246.564,24,"BulgarelliBenitezSaffranByers-HeinleinWeiss2017 1",0.0958482324687678,0.184226483513465,0.559951554791035,"FALSE"
